Hooiberg	NULL	Aruba	ABW
Jamanota	188	Aruba	ABW
Katia	406	Guinea	GIN
Niankola	898	Guinea	GIN
Dougo Kourou	449	Guinea	GIN
Touboumba	600	Guinea	GIN
Sanfoura	569	Guinea	GIN
Tibé Peak	NULL	Guinea	GIN
Mount 'Alava	491	American Samoa	ASM
Matafao Peak	642	American Samoa	ASM
Rainmaker Mountain	NULL	American Samoa	ASM
Tumu	NULL	American Samoa	ASM
Mount Tumutumu	486	American Samoa	ASM
Piumafua Mountain	629	American Samoa	ASM
Piumafua	NULL	American Samoa	ASM
Lata Mountain	951	American Samoa	ASM
Vailulu'u	NULL	American Samoa	ASM
Ayo Rock Formation	NULL	Aruba	ABW
Fello Tiangi	257	Guinea	GIN
Fello Kogan	171	Guinea	GIN
Petimbalki	243	Guinea	GIN
Diamana Nonko	521	Guinea	GIN
Massif du Tamgue	NULL	Guinea	GIN
Mount Loura	NULL	Guinea	GIN
Shampalist	648	Guinea	GIN
Sondomoli	1003	Guinea	GIN
Fello Petegele	865	Guinea	GIN
Kourou	424	Guinea	GIN
Biramfero	411	Guinea	GIN
Dantego	12	Guinea	GIN
Fouta Djallon	NULL	Guinea	GIN
Gombileya	360	Guinea	GIN
Mont Tinka	NULL	Guinea	GIN
Mount Kavendou	NULL	Guinea	GIN
Kouroufing	794	Guinea	GIN
Watahalla	888	Guinea	GIN
Sere	927	Guinea	GIN
Fello Boulouli	918	Guinea	GIN
Boundoukoura	927	Guinea	GIN
Simbere	886	Guinea	GIN
Kakoulima	NULL	Guinea	GIN
Bowal Tamba	432	Guinea	GIN
Souloukou Kourou	451	Guinea	GIN
Souroumba	798	Guinea	GIN
Torokonko	477	Guinea	GIN
Guinea Highlands	NULL	Guinea	GIN
Kamendou	685	Guinea	GIN
Limanba	531	Guinea	GIN
Yaradou	576	Guinea	GIN
Fonfoun Konko	543	Guinea	GIN
